id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,motivo_rechazo
1,José Chávez Pérez,jose.chavez.perez1@gmail.com,Hombre,2011/11/24,SanMiguel,,segmento_vacio
2,Daniela Rojas Ortiz,daniela.rojas.ortiz2@seguro.sv,,01-02-80,Sta. Ana,,"genero_vacio,segmento_vacio"
3,Ricardo Cruz Flores,ricardo.cruz.flores3@example.com,Masculino,06-18-79,S. Miguel,,segmento_vacio
5,Fernanda Chávez Rojas,fernanda.chavez.rojas5@seguro.sv,,1945/08/02, San Salvador ,Pyme,genero_vacio
14,Karla Hernández Santos,karla.hernandez.santos0@gmail.com,,03-19-10, San Salvador ,REGULAR,genero_vacio
16,Daniela Flores Torres,daniela.flores.torres2@seguro.sv,,04-07-2012,Sonso,REGULAR,genero_vacio
18,Ricardo Reyes Gómez,ricardo.reyes.gomez4@example.com,femenino,09-28-83,Sonso,,segmento_vacio
19,Ana Mendoza Ramírez,ana.mendoza.ramirez5@seguro.sv,,1947/09/06,SantaAna,PYME,genero_vacio
20,Paula López García,paula.lopez.garcia6@correo.com,Female,1966/05/25,SanMiguel,,segmento_vacio
21,Daniela Vásquez Rojas,daniela.vasquez.rojas0@example.com,,12-02-06,S. Miguel,PREMIUM,genero_vacio
22,José Ramírez Reyes,jose.ramirez.reyes1@correo.com,Masculino,22/09/1950,L. Libertad,,segmento_vacio
29,Valeria García Gómez,valeria.garcia.gomez1@mail.com,Fem,1961-07-08,LaLibertad,,segmento_vacio
30,Ricardo Castillo Martínez,ricardo.castillo.martinez2@example.com,,1960-10-07,Sta. Ana,,"genero_vacio,segmento_vacio"
32,Carlos Torres Santos,carlos.torres.santos4@seguro.sv,Female,22-11-1965, San Miguel ,,segmento_vacio
34,Diego Santos Santos,diego.santos.santos6@example.com,Mujer,1941-11-10,SantaAna,,segmento_vacio
45,Andrés Martínez Reyes,andres.martinez.reyes3@seguro.sv,,23/10/2006,La Libertad,Premium,genero_vacio
49,Carlos Cruz García,carlos.cruz.garcia0@mail.com,,07/12/1978,San Miguel,VIP,genero_vacio
52,Diego Chávez Flores,diego.chavez.flores3@mail.com,,03-25-81,sonsonate,vip,genero_vacio
57,Luis García Castillo,luis.garcia.castillo1@correo.com,Masculino,23/04/1969,Sonso,,segmento_vacio
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,,2012-03-07, San Miguel ,vip,genero_vacio
